Mf af
298.510078 0.833875
286.169454 0.752988
294.617073 0.825993
297.523218 0.781976
304.728936 0.813508
300.827254 0.781299
311.480685 0.869132
303.244078 0.802079
298.311548 0.826655
297.953702 0.769726
296.383543 0.841215
303.417121 0.799447
275.472945 0.710011
288.749887 0.790985
294.470821 0.831744
299.430365 0.776428
304.179574 0.865668
313.608968 0.817522
282.054529 0.741536
292.801493 0.742928
299.262443 0.815555
281.583050 0.784264
293.550893 0.771653
301.617717 0.806775
300.162290 0.815667
294.490581 0.813249
294.914418 0.831910
274.482428 0.730361
304.165698 0.843568
301.785629 0.849721
310.470023 0.845163
298.741713 0.823286
292.346735 0.836190
309.703684 0.885403
303.900419 0.852474
281.191804 0.721946
300.287979 0.818841
298.175133 0.815593
294.575149 0.779003
301.460869 0.829374
295.373273 0.834685
293.950597 0.808769
297.495263 0.803899
293.747865 0.742977
298.598799 0.803244
289.334147 0.781126
277.045356 0.739750
301.619175 0.826081
274.800604 0.715921
301.750456 0.806526
308.109456 0.828688
299.117430 0.820316
310.412216 0.828504
301.124902 0.835524
288.372260 0.706930
287.740082 0.745889
302.610599 0.858903
296.830637 0.809780
293.966659 0.788460
283.839872 0.731364
300.323799 0.872212
291.474692 0.792956
293.824942 0.829193
299.503564 0.802211
300.112323 0.818168
303.844242 0.838948
294.183484 0.795556
293.493446 0.813561
291.847858 0.842594
303.817584 0.830448
305.929322 0.839554
296.761521 0.832659
299.492124 0.839801
296.350590 0.790786
306.909804 0.847562
303.890853 0.859321
295.343797 0.810619
304.849877 0.857748
309.304490 0.863196
297.359217 0.840433
273.613816 0.732565
295.565853 0.840208
282.824778 0.781275
294.839276 0.797808
283.537830 0.769077
295.643468 0.817062
306.662134 0.830533
295.526157 0.796226
285.684658 0.786509
302.787454 0.823868
303.681471 0.852808
272.649156 0.711790
291.244437 0.841598
301.516293 0.852306
304.316808 0.853701
307.807084 0.840548
273.372474 0.697896
301.605356 0.837719
307.862196 0.861378
303.230741 0.832654
279.841921 0.739821
300.804473 0.834337
305.460015 0.861198
257.348404 0.581611
307.663747 0.879296
294.538123 0.820781
301.900337 0.831959
294.175342 0.828488
294.805771 0.840640
298.599117 0.828018
304.560642 0.859517
298.596648 0.856532
296.521460 0.815604
