Mf af
291.037814 0.797068
281.038114 0.801490
260.825524 0.746294
243.542431 0.710881
280.319468 0.767372
246.983940 0.708104
271.744505 0.728994
286.279667 0.818005
270.859107 0.829750
249.316793 0.720414
289.493207 0.834636
241.039685 0.688086
259.482694 0.675940
255.443534 0.738219
275.413896 0.793803
254.897463 0.724675
270.751465 0.635344
284.937627 0.781726
248.971355 0.710841
267.951356 0.691532
260.597957 0.767792
253.726627 0.694504
248.660120 0.746673
253.400894 0.747784
268.690194 0.760129
255.870524 0.741743
242.843858 0.688052
279.943236 0.737814
236.557573 0.565380
236.811816 0.670052
275.023127 0.768118
242.894065 0.618641
276.554889 0.772389
280.400914 0.809381
276.573555 0.804279
258.028803 0.685843
267.490835 0.765588
258.405263 0.736812
266.405243 0.763955
244.132819 0.621905
240.581371 0.673910
250.223854 0.697910
272.477085 0.747572
255.391585 0.738191
256.263756 0.740277
259.197271 0.759821
254.088595 0.659361
261.075615 0.711760
264.585336 0.783873
258.708319 0.752971
257.636396 0.690367
269.544103 0.781244
281.924521 0.820095
259.787833 0.722473
249.068886 0.704121
257.720984 0.707973
241.828050 0.677734
277.483119 0.800655
258.137508 0.709945
240.398395 0.710120
278.324197 0.838570
265.407479 0.729673
267.135454 0.769862
234.490567 0.567499
266.460344 0.718633
267.631705 0.745407
236.974552 0.626109
265.521906 0.759832
248.109222 0.675261
263.028111 0.735739
267.063225 0.742564
280.375413 0.772714
261.066447 0.711888
293.604981 0.781516
256.191067 0.743485
230.834984 0.570963
274.262424 0.778158
245.260477 0.667779
254.570463 0.671228
284.741562 0.824019
268.562466 0.710729
270.515143 0.724137
250.158938 0.690368
262.463080 0.716909
251.657450 0.672322
270.039135 0.759211
284.537581 0.830263
247.802601 0.728976
244.917779 0.686410
234.532207 0.611835
252.548724 0.749003
250.560267 0.726508
253.631945 0.738077
255.736110 0.693269
266.430313 0.738446
266.002566 0.739736
235.117321 0.657184
261.501008 0.774422
261.051139 0.744412
273.046640 0.765467
266.705461 0.679067
266.142372 0.703897
266.386258 0.756278
239.115610 0.548245
259.487964 0.768334
237.196741 0.594618
251.547239 0.658033
229.795937 0.622520
263.997614 0.771935
240.853530 0.680180
216.594892 0.601868
261.218697 0.651502
254.417027 0.705153
264.325634 0.796746
271.798452 0.797248
272.550955 0.713818
249.791298 0.718143
261.990892 0.773546
234.668882 0.632027
233.329473 0.667673
221.433902 0.523694
255.470483 0.717006
247.442120 0.686819
251.192114 0.737470
253.500179 0.664224
260.266052 0.760207
232.967923 0.645932
264.913916 0.746006
248.414544 0.643078
223.955542 0.593718
282.643410 0.829790
256.214052 0.805647
273.782344 0.755887
251.154941 0.705187
245.987379 0.705897
231.990156 0.636734
286.630739 0.814512
243.489822 0.664222
260.729155 0.736409
280.680074 0.812612
276.644413 0.771863
281.928247 0.796205
233.996983 0.637663
283.135144 0.767434
231.235252 0.517677
286.341543 0.820348
238.370539 0.640003
268.124670 0.717068
251.129508 0.707693
266.652118 0.755711
253.772176 0.772152
274.137323 0.771102
279.165816 0.779693
267.886810 0.784043
267.567696 0.741184
258.939167 0.758670
259.614457 0.666383
275.164517 0.776820
255.157157 0.634670
272.127080 0.807028
239.665980 0.650775
265.297245 0.708313
288.528254 0.829364
271.747410 0.729028
235.855625 0.720193
237.538527 0.633131
262.234778 0.755770
265.590952 0.744387
246.914174 0.638915
231.066207 0.620288
264.556271 0.726667
258.256193 0.735606
268.223025 0.715422
259.518332 0.665616
266.075769 0.768582
272.121142 0.764400
260.244941 0.738163
256.155905 0.725963
244.670596 0.737903
251.669638 0.737563
246.789103 0.649993
253.751793 0.699177
252.029599 0.698070
258.209127 0.735704
267.790294 0.730720
242.177763 0.659371
262.221886 0.715941
264.004316 0.771811
